name,total,release date,modified ban date
Base Set,102,1999-02-09,2000-02-24
Jungle,64,1999-06-16,2000-02-24
Fossil,62,1999-10-10
Base Set 2,130,2000-02-24
Team Rocket,82,2000-04-24
Gym Heroes,132,2000-08-14
Gym Challenge
Neo Genesis
Neo Revelation
Neo Destiny
Legendary Collection
Expedition
Aquapolis
Skyridge
Ex Ruby and Sapphire
Ex Sandstorm
Ex Dragon
Ex Team Magma vs. Team Aqua
Ex Hidden Legends
Ex FireRed and LeafGreen
Ex Team Rocket Returns
Ex Deoxys
Ex Emerald
Ex Unseen Forces
Ex Delta Species
Ex Legend Maker
Ex Holon Phantoms
Ex Crystal Guardians
Ex Dragon Frontiers
Ex Power Keepers
Diamond and Pearl
Mysterious Treasures
Secret Wonders
Great Encounters
Majestic Dawn
Legends Awakened
Stormfront
Platinum
Southern Islands
