tcg_set_id,local_language_id,name
1,9,Base Set
2,9,Jungle
3,9,Fossil
4,9,Base Set 2
5,9,Ream Rocket
6,9,Gym Heroes
7,9,Gym Challenge
8,9,Neo Genesis
9,9,Neo Revelations
10,9,Neo Destiny
11,9,Legendary Collection
12,9,Expedition
13,9,Aquapolis
14,9,Skyridge
15,9,Ex Ruby and Sapphire
